"","x"
"1","AA"
"2","ABC"
"3","ABT"
"4","ACE"
"5","ACN"
"6","ADBE"
"7","ADI"
"8","ADM"
"9","ADP"
"10","ADSK"
"11","AEE"
"12","AEP"
"13","AES"
"14","AET"
"15","AFL"
"16","AGN"
"17","AIG"
"18","AIV"
"19","AIZ"
"20","AKAM"
"21","ALL"
"22","ALTR"
"23","ALXN"
"24","AMAT"
"25","AMD"
"26","AMGN"
"27","AMP"
"28","AMT"
"29","AMZN"
"30","AN"
"31","ANF"
"32","AON"
"33","APA"
"34","APC"
"35","APD"
"36","APH"
"37","APOL"
"38","ARG"
"39","ATI"
"40","AVB"
"41","AVP"
"42","AVY"
"43","AXP"
"44","AZO"
"45","BA"
"46","BAC"
"47","BAX"
"48","BBBY"
"49","BBT"
"50","BBY"
"51","BCR"
"52","BDX"
"53","BEN"
"54","BHI"
"55","BIG"
"56","BIIB"
"57","BK"
"58","BLK"
"59","BMY"
"60","BRCM"
"61","BSX"
"62","BTU"
"63","BWA"
"64","BXP"
"65","C"
"66","CA"
"67","CAG"
"68","CAH"
"69","CAM"
"70","CAT"
"71","CB"
"72","CBG"
"73","CBS"
"74","CCE"
"75","CCI"
"76","CCL"
"77","CELG"
"78","CERN"
"79","CF"
"80","CFN"
"81","CHK"
"82","CHRW"
"83","CI"
"84","CINF"
"85","CL"
"86","CLF"
"87","CLX"
"88","CMA"
"89","CMCSA"
"90","CME"
"91","CMG"
"92","CMI"
"93","CMS"
"94","CNP"
"95","CNX"
"96","COF"
"97","COG"
"98","COH"
"99","COL"
"100","COP"
"101","COST"
"102","CPB"
"103","CRM"
"104","CSC"
"105","CSCO"
"106","CSX"
"107","CTAS"
"108","CTL"
"109","CTSH"
"110","CTXS"
"111","CVC"
"112","CVH"
"113","CVS"
"114","CVX"
"115","D"
"116","DD"
"117","DE"
"118","DF"
"119","DFS"
"120","DG"
"121","DGX"
"122","DHI"
"123","DHR"
"124","DIS"
"125","DISCA"
"126","DLTR"
"127","DNB"
"128","DNR"
"129","DO"
"130","DOV"
"131","DOW"
"132","DPS"
"133","DRI"
"134","DTE"
"135","DTV"
"136","DUK"
"137","DVA"
"138","DVN"
"139","EA"
"140","EBAY"
"141","ECL"
"142","ED"
"143","EFX"
"144","EIX"
"145","EL"
"146","EMC"
"147","EMN"
"148","EMR"
"149","EOG"
"150","EQR"
"151","EQT"
"152","ESRX"
"153","ESV"
"154","ETFC"
"155","ETN"
"156","ETR"
"157","EW"
"158","EXC"
"159","EXPD"
"160","EXPE"
"161","F"
"162","FAST"
"163","FCX"
"164","FDO"
"165","FDX"
"166","FE"
"167","FFIV"
"168","FHN"
"169","FII"
"170","FIS"
"171","FISV"
"172","FITB"
"173","FLIR"
"174","FLR"
"175","FLS"
"176","FMC"
"177","FOSL"
"178","FSLR"
"179","FTI"
"180","FTR"
"181","GAS"
"182","GD"
"183","GE"
"184","GILD"
"185","GIS"
"186","GLW"
"187","GME"
"188","GNW"
"189","GPC"
"190","GPS"
"191","GS"
"192","GT"
"193","GWW"
"194","HAL"
"195","HAR"
"196","HAS"
"197","HBAN"
"198","HCBK"
"199","HCN"
"200","HCP"
"201","HD"
"202","HES"
"203","HIG"
"204","HOG"
"205","HON"
"206","HOT"
"207","HP"
"208","HPQ"
"209","HRB"
"210","HRL"
"211","HRS"
"212","HSP"
"213","HST"
"214","HSY"
"215","HUM"
"216","IBM"
"217","ICE"
"218","IFF"
"219","IGT"
"220","INTC"
"221","INTU"
"222","IP"
"223","IPG"
"224","IR"
"225","IRM"
"226","ISRG"
"227","ITW"
"228","IVZ"
"229","JBL"
"230","JCI"
"231","JCP"
"232","JDSU"
"233","JEC"
"234","JNJ"
"235","JNPR"
"236","JOY"
"237","JPM"
"238","JWN"
"239","K"
"240","KEY"
"241","KIM"
"242","KLAC"
"243","KMB"
"244","KMX"
"245","KO"
"246","KR"
"247","KSS"
"248","L"
"249","LEG"
"250","LEN"
"251","LH"
"252","LLL"
"253","LLTC"
"254","LLY"
"255","LM"
"256","LMT"
